Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOnTm(min),GelHtrOffTm(min)
31-Jul-24 20:31:41:026,DRUPLUS999,,,0,0,1,0,90.5,90.14,127.8,,,,,,,600,0,0
31-Jul-24 20:31:43:028,DRUPLUS999,,,0,0,1,0,90.5,90.32,127.6,,,,,,,600,0,0
31-Jul-24 20:31:45:027,DRUPLUS999,,,0,0,1,0,90.5,90.32,127.9,,,,,,,600,0,0
31-Jul-24 20:31:47:027,DRUPLUS999,,,0,0,1,0,90.5,90.32,127.8,,,,,,,600,0,0
31-Jul-24 20:31:49:027,DRUPLUS999,,,0,0,1,0,90.5,90.32,127.8,,,,,,,600,0,0
31-Jul-24 20:31:51:028,DRUPLUS999,,,0,0,1,50,90.5,90.32,127.6,,,,,,,600,0,0
31-Jul-24 20:31:53:033,DRUPLUS999,,,1,0,1,50,90.32,90.32,127.8,,,,,,,600,0,0
31-Jul-24 20:31:55:030,DRUPLUS999,,,0,0,1,50,90.32,90.32,127.9,,,,,,,600,0,0
31-Jul-24 20:31:57:028,DRUPLUS999,,,1,0,1,50,90.32,90.32,127.8,,,,,,,600,0,0
31-Jul-24 20:31:59:028,DRUPLUS999,,,0,0,1,50,90.32,90.32,127.7,,,,,,,600,0,0
31-Jul-24 20:32:01:035,DRUPLUS999,,,1,0,1,50,90.32,90.32,127.6,,,,,,,600,0,0
31-Jul-24 20:32:03:029,DRUPLUS999,,,0,0,1,50,90.32,90.32,127.9,,,,,,,600,0,0
31-Jul-24 20:32:05:032,DRUPLUS999,,,1,0,1,50,90.5,90.32,127.8,,,,,,,600,0,0
31-Jul-24 20:32:07:029,DRUPLUS999,,,0,0,1,50,90.5,90.32,127.8,,,,,,,600,0,0
31-Jul-24 20:32:09:033,DRUPLUS999,,,1,0,1,50,90.5,90.32,127.5,,,,,,,600,0,0
31-Jul-24 20:32:11:029,DRUPLUS999,,,0,0,1,50,90.68,90.5,127.9,,,,,,,600,0,0
31-Jul-24 20:32:13:029,DRUPLUS999,,,1,0,1,50,90.68,90.5,127.7,,,,,,,600,0,0
31-Jul-24 20:32:15:029,DRUPLUS999,,,0,0,1,50,90.86,90.5,127.7,,,,,,,600,0,0
31-Jul-24 20:32:17:033,DRUPLUS999,,,1,0,1,50,91.22,90.5,127.3,,,,,,,600,0,0
31-Jul-24 20:32:19:029,DRUPLUS999,,,0,0,1,50,91.4,90.5,127.6,,,,,,,600,0,0
31-Jul-24 20:32:21:033,DRUPLUS999,,,0,0,1,0,91.58,90.5,127.5,,,,,,,600,0,0
31-Jul-24 20:32:23:030,DRUPLUS999,,,0,0,1,0,91.94,90.5,127.5,,,,,,,600,0,0
31-Jul-24 20:32:25:036,DRUPLUS999,,,0,0,1,0,92.3,90.5,127.3,,,,,,,600,0,0
31-Jul-24 20:32:27:030,DRUPLUS999,,,0,0,1,0,92.66,90.5,127.3,,,,,,,600,0,0
31-Jul-24 20:32:29:032,DRUPLUS999,,,0,0,1,0,93.2,90.5,127.3,,,,,,,600,0,0
31-Jul-24 20:32:31:032,DRUPLUS999,,,0,0,1,0,93.56,90.68,127.3,,,,,,,600,0,0
31-Jul-24 20:32:33:032,DRUPLUS999,,,0,0,1,0,94.1,90.68,127.2,,,,,,,600,0,0
31-Jul-24 20:32:35:035,DRUPLUS999,,,0,0,1,0,94.46,90.68,127.1,,,,,,,600,0,0
31-Jul-24 20:32:37:036,DRUPLUS999,,,0,0,1,0,95,90.68,127.2,,,,,,,600,0,0
31-Jul-24 20:32:39:033,DRUPLUS999,,,0,0,1,0,95.36,90.68,127.2,,,,,,,600,0,0
