Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOnTm(min),GelHtrOffTm(min)
31-Jul-24 20:53:15:139,DRUPLUS999,,,0,0,1,0,95.9,96.26,104.6,,,,,,,600,0,0
31-Jul-24 20:53:17:140,DRUPLUS999,,,0,0,1,0,95.9,96.44,104.6,,,,,,,600,0,0
31-Jul-24 20:53:19:136,DRUPLUS999,,,0,0,1,0,95.9,96.26,104.4,,,,,,,600,0,0
31-Jul-24 20:53:21:132,DRUPLUS999,,,0,0,1,0,95.9,96.44,104.6,,,,,,,600,0,0
31-Jul-24 20:53:23:139,DRUPLUS999,,,0,0,1,0,95.9,96.44,104.6,,,,,,,600,0,0
31-Jul-24 20:53:25:139,DRUPLUS999,,,0,0,1,0,95.9,96.44,104.6,,,,,,,600,0,0
31-Jul-24 20:53:27:131,DRUPLUS999,,,0,0,1,0,95.9,96.44,104.6,,,,,,,600,0,0
31-Jul-24 20:53:29:136,DRUPLUS999,,,0,0,1,0,95.9,96.44,104.6,,,,,,,600,0,0
31-Jul-24 20:53:31:132,DRUPLUS999,,,0,0,1,0,95.9,96.44,104.7,,,,,,,600,0,0
31-Jul-24 20:53:33:132,DRUPLUS999,,,0,0,1,0,95.9,96.44,104.7,,,,,,,600,0,0
31-Jul-24 20:53:35:141,DRUPLUS999,,,0,0,1,50,95.9,96.44,104.6,,,,,,,600,0,0
31-Jul-24 20:53:37:142,DRUPLUS999,,,1,0,1,50,95.9,96.26,104.6,,,,,,,600,0,0
31-Jul-24 20:53:39:141,DRUPLUS999,,,0,0,1,50,95.9,96.26,104.6,,,,,,,600,0,0
31-Jul-24 20:53:41:137,DRUPLUS999,,,1,0,1,50,95.9,96.26,104.7,,,,,,,600,0,0
31-Jul-24 20:53:43:134,DRUPLUS999,,,0,0,1,50,95.9,96.26,104.7,,,,,,,600,0,0
31-Jul-24 20:53:45:142,DRUPLUS999,,,1,0,1,50,95.9,96.26,104.6,,,,,,,600,0,0
31-Jul-24 20:53:47:136,DRUPLUS999,,,0,0,1,50,95.9,96.26,104.6,,,,,,,600,0,0
31-Jul-24 20:53:49:139,DRUPLUS999,,,1,0,1,50,95.9,96.44,104.7,,,,,,,600,0,0
31-Jul-24 20:53:51:136,DRUPLUS999,,,0,0,1,50,95.9,96.44,104.7,,,,,,,600,0,0
31-Jul-24 20:53:53:136,DRUPLUS999,,,1,0,1,50,96.08,96.44,104.7,,,,,,,600,0,0
31-Jul-24 20:53:55:134,DRUPLUS999,,,0,0,1,50,96.26,96.44,104.6,,,,,,,600,0,0
31-Jul-24 20:53:57:140,DRUPLUS999,,,1,0,1,50,96.26,96.44,104.6,,,,,,,600,0,0
31-Jul-24 20:53:59:136,DRUPLUS999,,,0,0,1,50,96.44,96.44,107.8,,,,,,,600,0,0
31-Jul-24 20:54:01:147,DRUPLUS999,,,1,0,1,50,96.62,96.44,104.8,,,,,,,600,0,0
31-Jul-24 20:54:03:137,DRUPLUS999,,,0,0,1,50,96.98,96.44,104.6,,,,,,,600,0,0
31-Jul-24 20:54:05:134,DRUPLUS999,,,1,0,1,0,97.16,96.44,104.6,,,,,,,600,0,0
31-Jul-24 20:54:07:134,DRUPLUS999,,,0,0,1,0,97.52,96.44,104.3,,,,,,,600,0,0
31-Jul-24 20:54:09:139,DRUPLUS999,,,0,0,1,0,97.88,96.44,104.7,,,,,,,600,0,0
31-Jul-24 20:54:11:142,DRUPLUS999,,,0,0,1,0,98.24,96.44,104.6,,,,,,,600,0,0
31-Jul-24 20:54:13:132,DRUPLUS999,,,0,0,1,0,98.78,96.44,104.3,,,,,,,600,0,0
31-Jul-24 20:54:15:140,DRUPLUS999,,,0,0,1,0,99.14,96.44,104,,,,,,,600,0,0
31-Jul-24 20:54:17:135,DRUPLUS999,,,0,0,1,0,99.68,96.62,104.2,,,,,,,600,0,0
31-Jul-24 20:54:19:138,DRUPLUS999,,,0,0,1,0,100.04,96.62,104.3,,,,,,,600,0,0
31-Jul-24 20:54:21:134,DRUPLUS999,,,0,0,1,0,100.76,96.62,104,,,,,,,600,0,0
31-Jul-24 20:54:23:134,DRUPLUS999,,,0,0,1,0,101.12,96.62,103.9,,,,,,,600,0,0
31-Jul-24 20:54:25:144,DRUPLUS999,,,0,0,1,0,101.66,96.8,103.6,,,,,,,600,0,0
31-Jul-24 20:54:27:137,DRUPLUS999,,,0,0,1,0,102.02,96.8,104,,,,,,,600,0,0
31-Jul-24 20:54:29:142,DRUPLUS999,,,0,0,1,0,102.74,96.98,103.7,,,,,,,600,0,0
31-Jul-24 20:54:31:142,DRUPLUS999,,,0,0,1,0,103.1,96.98,103.5,,,,,,,600,0,0
31-Jul-24 20:54:33:135,DRUPLUS999,,,0,0,1,0,103.64,96.98,103.4,,,,,,,600,0,0
31-Jul-24 20:54:35:138,DRUPLUS999,,,0,0,1,0,103.82,97.16,103.4,,,,,,,600,0,0
31-Jul-24 20:54:37:135,DRUPLUS999,,,0,0,1,0,104.18,97.16,103.5,,,,,,,600,0,0
31-Jul-24 20:54:39:142,DRUPLUS999,,,0,0,1,0,104.72,97.16,103.4,,,,,,,600,0,0
31-Jul-24 20:54:41:142,DRUPLUS999,,,0,0,1,0,104.9,97.34,103.4,,,,,,,600,0,0
31-Jul-24 20:54:43:137,DRUPLUS999,,,0,0,1,0,105.26,97.16,103.3,,,,,,,600,0,0
31-Jul-24 20:54:45:138,DRUPLUS999,,,0,0,1,0,105.44,97.16,103,,,,,,,600,0,0
31-Jul-24 20:54:47:139,DRUPLUS999,,,0,0,1,0,105.8,97.34,103.1,,,,,,,600,0,0
31-Jul-24 20:54:49:139,DRUPLUS999,,,0,0,1,0,105.98,97.34,103,,,,,,,600,0,0
31-Jul-24 20:54:51:138,DRUPLUS999,,,0,0,1,0,106.16,97.34,103,,,,,,,600,0,0
31-Jul-24 20:54:53:140,DRUPLUS999,,,0,0,1,0,106.34,97.52,102.7,,,,,,,600,0,0
31-Jul-24 20:54:55:139,DRUPLUS999,,,0,0,1,0,106.52,97.52,102.8,,,,,,,600,0,0
31-Jul-24 20:54:57:150,DRUPLUS999,,,0,0,1,0,106.7,97.52,102.7,,,,,,,600,0,0
31-Jul-24 20:54:59:141,DRUPLUS999,,,0,0,1,0,106.7,97.52,101.4,,,,,,,600,0,0
31-Jul-24 20:55:01:146,DRUPLUS999,,,0,0,1,0,106.88,97.7,101.1,,,,,,,600,0,0
31-Jul-24 20:55:03:142,DRUPLUS999,,,0,0,1,0,106.88,97.7,101.6,,,,,,,600,0,0
31-Jul-24 20:55:05:142,DRUPLUS999,,,0,0,1,0,107.06,97.7,100.5,,,,,,,600,0,0
31-Jul-24 20:55:07:141,DRUPLUS999,,,0,0,1,0,107.06,97.88,100.6,,,,,,,600,0,0
31-Jul-24 20:55:09:142,DRUPLUS999,,,0,0,1,0,107.06,97.88,100.5,,,,,,,600,0,0
31-Jul-24 20:55:11:153,DRUPLUS999,,,0,0,1,0,107.06,97.88,100.5,,,,,,,600,0,0
31-Jul-24 20:55:13:148,DRUPLUS999,,,0,0,1,0,107.06,97.88,100.3,,,,,,,600,0,0
31-Jul-24 20:55:15:147,DRUPLUS999,,,0,0,1,0,107.06,98.06,100.4,,,,,,,600,0,0
31-Jul-24 20:55:17:145,DRUPLUS999,,,0,0,1,0,107.06,98.06,100.4,,,,,,,600,0,0
