Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOnTm(min),GelHtrOffTm(min)
31-Jul-24 20:02:46:878,DRUPLUS999,,,0,0,1,0,87.08,81.86,174.9,,,,,,,600,0,0
31-Jul-24 20:02:48:882,DRUPLUS999,,,0,0,1,0,87.08,81.86,175,,,,,,,600,0,0
31-Jul-24 20:02:50:882,DRUPLUS999,,,0,0,1,50,86.9,81.86,174.9,,,,,,,600,0,0
31-Jul-24 20:02:52:878,DRUPLUS999,,,1,0,1,50,86.9,82.04,174.7,,,,,,,600,0,0
31-Jul-24 20:02:54:878,DRUPLUS999,,,0,0,1,50,86.9,82.04,174.7,,,,,,,600,0,0
31-Jul-24 20:02:56:878,DRUPLUS999,,,1,0,1,50,86.72,82.04,174.6,,,,,,,600,0,0
31-Jul-24 20:02:58:878,DRUPLUS999,,,0,0,1,50,86.72,82.04,174.6,,,,,,,600,0,0
31-Jul-24 20:03:00:878,DRUPLUS999,,,1,0,1,50,86.72,82.04,174.2,,,,,,,600,0,0
31-Jul-24 20:03:02:879,DRUPLUS999,,,0,0,1,50,86.54,82.04,174.1,,,,,,,600,0,0
31-Jul-24 20:03:04:880,DRUPLUS999,,,1,0,1,50,86.54,82.04,171.2,,,,,,,600,0,0
31-Jul-24 20:03:06:885,DRUPLUS999,,,0,0,1,50,86.54,82.04,171.1,,,,,,,600,0,0
31-Jul-24 20:03:08:880,DRUPLUS999,,,1,0,1,50,86.54,82.04,171,,,,,,,600,0,0
31-Jul-24 20:03:10:880,DRUPLUS999,,,0,0,1,50,86.54,82.04,171.1,,,,,,,600,0,0
31-Jul-24 20:03:12:881,DRUPLUS999,,,1,0,1,50,86.72,82.22,171.5,,,,,,,600,0,0
31-Jul-24 20:03:14:880,DRUPLUS999,,,0,0,1,50,86.9,82.22,181.4,,,,,,,600,0,0
31-Jul-24 20:03:16:882,DRUPLUS999,,,1,0,1,50,87.08,82.4,195.8,,,,,,,600,0,0
