Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOffTm(min),GelHtrOnTm(min)
25-Jul-24 21:59:16:598,DRUPLUS999,,,0,0,1,0,109.58,109.94,163,,,,,,,600,0,0
25-Jul-24 21:59:18:596,DRUPLUS999,,,0,0,1,0,109.4,109.94,162.6,,,,,,,600,0,0
25-Jul-24 21:59:20:596,DRUPLUS999,,,0,0,1,0,109.4,109.76,162.9,,,,,,,600,0,0
25-Jul-24 21:59:22:598,DRUPLUS999,,,0,0,1,0,109.4,109.76,161.6,,,,,,,600,0,0
25-Jul-24 21:59:24:599,DRUPLUS999,,,0,0,1,20,109.4,109.76,162.1,,,,,,,600,0,0
25-Jul-24 21:59:26:601,DRUPLUS999,,,0,0,1,20,109.4,109.76,158.3,,,,,,,600,0,0
25-Jul-24 21:59:28:596,DRUPLUS999,,,0,0,1,20,109.4,109.76,84.1,,,,,,,600,0,0
25-Jul-24 21:59:30:601,DRUPLUS999,,,0,0,1,20,109.4,109.76,85.8,,,,,,,600,0,0
25-Jul-24 21:59:32:598,DRUPLUS999,,,0,0,1,20,109.4,109.94,86.6,,,,,,,600,0,0
25-Jul-24 21:59:34:598,DRUPLUS999,,,0,0,1,20,109.4,109.76,86.7,,,,,,,600,0,0
25-Jul-24 21:59:36:601,DRUPLUS999,,,0,0,1,20,109.4,109.76,86.7,,,,,,,600,0,0
25-Jul-24 21:59:38:602,DRUPLUS999,,,0,0,1,20,109.4,109.94,86.7,,,,,,,600,0,0
25-Jul-24 21:59:40:602,DRUPLUS999,,,0,0,1,20,109.4,109.94,86.7,,,,,,,600,0,0
25-Jul-24 21:59:42:601,DRUPLUS999,,,0,0,1,20,109.4,109.76,86.7,,,,,,,600,0,0
25-Jul-24 21:59:44:604,DRUPLUS999,,,0,0,1,20,109.4,109.76,86.7,,,,,,,600,0,0
25-Jul-24 21:59:46:600,DRUPLUS999,,,0,0,1,20,109.58,109.76,86.7,,,,,,,600,0,0
25-Jul-24 21:59:48:599,DRUPLUS999,,,0,0,1,20,109.58,109.76,86.7,,,,,,,600,0,0
25-Jul-24 21:59:50:599,DRUPLUS999,,,0,0,1,20,109.58,109.76,86.8,,,,,,,600,0,0
25-Jul-24 21:59:52:604,DRUPLUS999,,,0,0,1,20,109.76,109.76,86.5,,,,,,,600,0,0
25-Jul-24 21:59:54:599,DRUPLUS999,,,0,0,1,20,109.76,109.76,86.7,,,,,,,600,0,0
25-Jul-24 21:59:56:604,DRUPLUS999,,,0,0,1,20,109.94,109.76,86.7,,,,,,,600,0,0
25-Jul-24 21:59:58:600,DRUPLUS999,,,0,0,1,20,110.12,109.76,86.7,,,,,,,600,0,0
25-Jul-24 22:00:00:598,DRUPLUS999,,,0,0,1,20,110.12,109.76,86.7,,,,,,,600,0,0
25-Jul-24 22:00:02:599,DRUPLUS999,,,0,0,1,20,110.3,109.76,86.6,,,,,,,600,0,0
25-Jul-24 22:00:04:598,DRUPLUS999,,,0,0,1,20,110.48,109.76,86.7,,,,,,,600,0,0
25-Jul-24 22:00:06:598,DRUPLUS999,,,0,0,1,20,110.66,109.76,89.2,,,,,,,600,0,0
25-Jul-24 22:00:08:599,DRUPLUS999,,,0,0,1,20,110.84,109.76,87.9,,,,,,,600,0,0
25-Jul-24 22:00:10:598,DRUPLUS999,,,0,0,1,20,111.02,109.76,86.6,,,,,,,600,0,0
25-Jul-24 22:00:12:599,DRUPLUS999,,,0,0,1,20,111.38,109.94,86.7,,,,,,,600,0,0
25-Jul-24 22:00:14:605,DRUPLUS999,,,0,0,1,20,111.38,109.76,86.7,,,,,,,600,0,0
25-Jul-24 22:00:16:599,DRUPLUS999,,,0,0,1,20,111.74,109.94,86.6,,,,,,,600,0,0
25-Jul-24 22:00:18:599,DRUPLUS999,,,0,0,1,20,111.92,109.94,86.7,,,,,,,600,0,0
25-Jul-24 22:00:20:600,DRUPLUS999,,,0,0,1,20,112.28,109.94,86.6,,,,,,,600,0,0
25-Jul-24 22:00:22:600,DRUPLUS999,,,0,0,1,20,112.46,109.94,86.9,,,,,,,600,0,0
25-Jul-24 22:00:24:600,DRUPLUS999,,,0,0,1,20,112.64,109.94,86.6,,,,,,,600,0,0
25-Jul-24 22:00:26:599,DRUPLUS999,,,0,0,1,20,112.82,109.94,86.6,,,,,,,600,0,0
25-Jul-24 22:00:28:601,DRUPLUS999,,,0,0,1,20,113.18,109.76,86.6,,,,,,,600,0,0
25-Jul-24 22:00:30:600,DRUPLUS999,,,0,0,1,20,113.36,109.76,86.6,,,,,,,600,0,0
25-Jul-24 22:00:32:614,DRUPLUS999,,,0,0,1,20,113.72,109.76,86.6,,,,,,,600,0,0
25-Jul-24 22:00:34:601,DRUPLUS999,,,0,0,1,20,113.9,109.76,86.7,,,,,,,600,0,0
25-Jul-24 22:00:36:600,DRUPLUS999,,,0,0,1,20,114.26,109.94,86.6,,,,,,,600,0,0
25-Jul-24 22:00:38:607,DRUPLUS999,,,0,0,1,20,114.44,109.94,86.6,,,,,,,600,0,0
25-Jul-24 22:00:40:601,DRUPLUS999,,,0,0,1,20,114.8,109.94,86.5,,,,,,,600,0,0
25-Jul-24 22:00:42:607,DRUPLUS999,,,0,0,1,20,115.16,109.94,86.5,,,,,,,600,0,0
25-Jul-24 22:00:44:603,DRUPLUS999,,,0,0,1,20,115.34,109.94,86.6,,,,,,,600,0,0
25-Jul-24 22:00:46:609,DRUPLUS999,,,0,0,1,20,115.7,110.12,87.2,,,,,,,600,0,0
25-Jul-24 22:00:48:602,DRUPLUS999,,,0,0,1,20,115.88,110.12,86.7,,,,,,,600,0,0
25-Jul-24 22:00:50:603,DRUPLUS999,,,0,0,1,20,116.24,110.12,86.5,,,,,,,600,0,0
25-Jul-24 22:00:52:607,DRUPLUS999,,,0,0,1,20,116.42,110.12,86.4,,,,,,,600,0,0
25-Jul-24 22:00:54:602,DRUPLUS999,,,0,0,1,20,116.78,110.12,86.4,,,,,,,600,0,0
25-Jul-24 22:00:56:603,DRUPLUS999,,,0,0,1,20,116.96,110.12,86.7,,,,,,,600,0,0
25-Jul-24 22:00:58:607,DRUPLUS999,,,0,0,1,20,117.32,110.3,86.4,,,,,,,600,0,0
25-Jul-24 22:01:00:606,DRUPLUS999,,,0,0,1,20,117.5,110.3,86.4,,,,,,,600,0,0
25-Jul-24 22:01:02:606,DRUPLUS999,,,0,0,1,20,117.86,110.3,86.6,,,,,,,600,0,0
25-Jul-24 22:01:04:611,DRUPLUS999,,,0,0,1,20,118.04,110.48,86.3,,,,,,,600,0,0
25-Jul-24 22:01:06:605,DRUPLUS999,,,0,0,1,20,118.4,110.48,86.6,,,,,,,600,0,0
25-Jul-24 22:01:08:606,DRUPLUS999,,,0,0,1,20,118.58,110.48,87.2,,,,,,,600,0,0
25-Jul-24 22:01:10:605,DRUPLUS999,,,0,0,1,20,118.94,110.48,86,,,,,,,600,0,0
25-Jul-24 22:01:12:604,DRUPLUS999,,,0,0,1,20,119.3,110.48,86.1,,,,,,,600,0,0
25-Jul-24 22:01:14:608,DRUPLUS999,,,0,0,1,20,119.48,110.48,86,,,,,,,600,0,0
25-Jul-24 22:01:16:609,DRUPLUS999,,,0,0,1,20,119.84,110.48,86.2,,,,,,,600,0,0
25-Jul-24 22:01:18:606,DRUPLUS999,,,0,0,1,20,120.02,110.48,86,,,,,,,600,0,0
25-Jul-24 22:01:20:606,DRUPLUS999,,,0,0,1,20,120.38,110.48,85.9,,,,,,,600,0,0
25-Jul-24 22:01:22:606,DRUPLUS999,,,0,0,1,20,120.56,110.48,85.9,,,,,,,600,0,0
25-Jul-24 22:01:24:606,DRUPLUS999,,,0,0,1,20,120.92,110.66,85.9,,,,,,,600,0,0
25-Jul-24 22:01:26:606,DRUPLUS999,,,0,0,1,20,121.1,110.66,85.9,,,,,,,600,0,0
