Time & Date,MachineName,UserComment,UserID,GELHtrOn,GELLevelSwitch,GELMtrOn,GELHtrOut(%),GELTempCell(degF),GELTempMud(degF),GELDialPoll,Depth(ft),TVD(ft),T/D Activity,Lag Depth(ft),Hole Depth(ft),Hole TVD(ft),GELMotorSpeed(rpm),GelHtrOffTm(min),GelHtrOnTm(min)
25-Jul-24 16:24:21:468,DRUPLUS999,,,0,0,1,0,71.6,71.06,217.4,,,,,,,600,0,0
25-Jul-24 16:24:23:470,DRUPLUS999,,,0,0,1,0,71.6,71.06,217.5,,,,,,,600,0,0
25-Jul-24 16:24:25:470,DRUPLUS999,,,0,0,1,0,71.6,71.24,217.6,,,,,,,600,0,0
25-Jul-24 16:24:27:465,DRUPLUS999,,,0,0,1,30,71.6,71.24,217.9,,,,,,,600,0,0
25-Jul-24 16:24:29:466,DRUPLUS999,,,1,0,1,30,71.6,71.24,218.1,,,,,,,600,0,0
25-Jul-24 16:24:31:468,DRUPLUS999,,,0,0,1,30,71.6,71.06,218.2,,,,,,,600,0,0
25-Jul-24 16:24:33:466,DRUPLUS999,,,1,0,1,30,71.6,71.06,218.6,,,,,,,600,0,0
25-Jul-24 16:24:35:471,DRUPLUS999,,,0,0,1,30,71.6,71.06,218.7,,,,,,,600,0,0
25-Jul-24 16:24:37:465,DRUPLUS999,,,1,0,1,30,71.6,71.06,218.8,,,,,,,600,0,0
25-Jul-24 16:24:39:465,DRUPLUS999,,,0,0,1,30,71.6,71.06,219,,,,,,,600,0,0
25-Jul-24 16:24:41:469,DRUPLUS999,,,1,0,1,30,71.6,71.06,219.2,,,,,,,600,0,0
25-Jul-24 16:24:43:466,DRUPLUS999,,,0,0,1,30,71.6,71.24,219.3,,,,,,,600,0,0
25-Jul-24 16:24:45:466,DRUPLUS999,,,1,0,1,30,71.6,71.24,219.4,,,,,,,600,0,0
25-Jul-24 16:24:47:469,DRUPLUS999,,,0,0,1,30,71.78,71.24,219.5,,,,,,,600,0,0
25-Jul-24 16:24:49:466,DRUPLUS999,,,1,0,1,30,71.78,71.24,219.5,,,,,,,600,0,0
25-Jul-24 16:24:51:467,DRUPLUS999,,,0,0,1,30,71.96,71.24,219.6,,,,,,,600,0,0
25-Jul-24 16:24:53:473,DRUPLUS999,,,1,0,1,30,71.96,71.24,219.6,,,,,,,600,0,0
25-Jul-24 16:24:55:471,DRUPLUS999,,,0,0,1,30,72.14,71.24,219.7,,,,,,,600,0,0
25-Jul-24 16:24:57:479,DRUPLUS999,,,1,0,1,30,72.32,71.24,219.8,,,,,,,600,0,0
